"Suburb","Address","Rooms","Type","Price","Method","SellerG","Distance","Postcode","Bedroom2","Bathroom","Car","Landsize","BuildingArea","YearBuilt","CouncilArea"
"Yarraville","9/11 Berry St",3,"h",955000,"S","Village",7,"3013",3,2,2,206,173,2006,"Maribyrnong"
"Seddon","16 Margaret St",3,"h",965000,"S","Jas",6.6,"3011",3,1,0,217,104,1910,"Maribyrnong"
"Essendon","211 Napier St",4,"h",1467000,"S","Brad",8,"3040",3,2,1,683,145,1920,"Moonee Valley"
"Murrumbeena","525a Neerim Rd",4,"h",1800000,"PI","Ray",12.1,"3163",4,2,2,990,267,2003,"Glen Eira"
"Hawthorn","207/17 Riversdale Rd",1,"u",390000,"VB","LITTLE",4.6,"3122",NA,NA,NA,NA,NA,NA,""
"Maidstone","4 Maple St",5,"h",1350000,"S","Biggin",9.2,"3012",5,3,2,527,358,2009,"Maribyrnong"
"Hampton","22 Margarita St",4,"h",2880000,"S","Marshall",13.7,"3188",4,3,2,687,NA,NA,"Bayside"
"Williamstown","8/99 Verdon St",1,"u",310000,"SP","Sweeney",8,"3016",1,1,1,0,58,1968,"Hobsons Bay"
"Brunswick","393A Brunswick Rd",3,"h",1260000,"S","Rendina",5.2,"3056",3,1,6,563,98,1960,"Moreland"
"Reservoir","54 Pine St",3,"h",793000,"S","Barry",11.2,"3073",3,1,2,589,128,1950,"Darebin"
"Fairfield","4/224 Arthur St",2,"t",805000,"S","McGrath",5.8,"3078",2,1,1,140,2,2008,"Darebin"
"Coburg","9 Vincent St",4,"h",1155000,"S","Nelson",7.8,"3058",4,1,2,370,NA,NA,"Moreland"
"Altona North","11a Edward Av",3,"t",713500,"S","Greg",11.1,"3025",NA,NA,NA,NA,NA,NA,""
"St Kilda","2/19 Eildon Rd",3,"t",1400000,"VB","McGrath",6.1,"3182",3,2,2,128,183,2002,"Port Phillip"
"Fawkner","6 Lock St",4,"h",752500,"SP","hockingstuart",12.4,"3060",4,1,2,0,135,1950,"Moreland"
"Melbourne","121/461 St Kilda Rd",2,"u",2138000,"S","Rodney",2.8,"3000",NA,NA,NA,NA,NA,NA,""
"Bentleigh East","2/3 Wonga Ct",2,"t",486500,"S","hockingstuart",13.9,"3165",2,1,1,0,75,1960,"Glen Eira"
"Albert Park","44 Greig St",2,"h",1750000,"S","Marshall",3.3,"3206",2,1,1,162,NA,NA,"Port Phillip"
"Prahran","83 Charles St",2,"h",1500000,"S","Jellis",4.5,"3181",2,1,2,236,NA,NA,"Stonnington"
"Oak Park","11 Hillcrest Rd",5,"h",900000,"VB","Brad",11.5,"3046",5,2,2,568,260,1995,"Moreland"
"Balwyn North","3/1 Corhampton Rd",2,"h",685000,"SP","Jellis",9.2,"3104",2,1,1,177,85,1975,"Boroondara"
"Port Melbourne","205 Heath St",2,"h",1115000,"S","Chisholm",3.8,"3207",2,1,0,120,76,1900,"Port Phillip"
"Sunshine West","68 Nicholson Pde",3,"h",625000,"S","Bells",13.5,"3020",3,1,2,650,NA,NA,"Brimbank"
"Brunswick","14 Murdock St",3,"h",976000,"S","Jellis",5.2,"3056",3,2,1,240,162,2005,"Moreland"
"Port Melbourne","216 Esplanade Pl",2,"h",1532000,"S","Cayzer",3.8,"3207",NA,NA,NA,NA,NA,NA,""
"Heidelberg Heights","7 Thames St",3,"h",1100000,"SP","Miles",10.5,"3081",3,1,0,613,NA,1925,"Banyule"
"Armadale","28 Lambeth Av",3,"h",2675000,"S","Marshall",6.3,"3143",NA,NA,NA,NA,NA,NA,""
"Richmond","6 Brady St",3,"h",1275000,"S","Biggin",2.6,"3121",3,2,1,132,95,1900,"Yarra"
"Bentleigh East","177 Bignell Rd",3,"h",1110000,"S","hockingstuart",13.9,"3165",3,1,6,542,538,NA,"Glen Eira"
"Williamstown","4/54 Yarra St",2,"u",375000,"SP","Williams",8,"3016",2,1,1,0,49,1970,"Hobsons Bay"
"Airport West","50 Bedford St",3,"h",770000,"SP","Nelson",13.5,"3042",3,2,1,0,145,1965,"Moonee Valley"
"Brighton","33a Durrant St",2,"h",1532000,"S","Hodges",11.2,"3186",2,1,2,411,165,1910,"Bayside"
"South Melbourne","481 City Rd",2,"h",1100000,"VB","Greg",2.1,"3205",2,1,2,185,NA,NA,"Port Phillip"
"Sunshine North","86 Northumberland Rd",3,"h",680000,"SP","Barry",13.3,"3020",3,1,2,553,105,NA,"Brimbank"
"Kensington","119/71 Henry St",1,"u",370000,"VB","Edward",4.2,"3031",1,1,1,0,50,2012,"Melbourne"
"Brunswick","15/11 Aberdeen St",2,"u",350000,"S","hockingstuart",5.2,"3056",2,1,1,0,NA,NA,"Moreland"
"Cremorne","308/163 Cremorne St",2,"u",565000,"S","hockingstuart",2.5,"3121",2,1,1,0,NA,2007,"Yarra"
"Carnegie","1 Frogmore Rd",3,"h",1600000,"S","Woodards",11.4,"3163",4,2,2,751,40,1923,"Glen Eira"
"Brighton East","12 Thomas St",3,"h",1075000,"PI","hockingstuart",10.7,"3187",3,2,2,312,NA,1990,"Glen Eira"
"Essendon","55 Lincoln Rd",4,"h",1600000,"SP","Brad",8,"3040",4,3,1,519,218,1930,"Moonee Valley"
"Essendon","141 Cooper St",3,"h",1990000,"S","Barry",8,"3040",4,2,2,1021,NA,NA,"Moonee Valley"
"Carlton","12/209 Cardigan St",2,"u",600000,"VB","Nelson",1.8,"3053",2,1,1,0,NA,NA,"Melbourne"
"Newport","23 Alma Tce",3,"h",1220000,"S","Williams",8.4,"3015",3,2,0,311,NA,1920,"Hobsons Bay"
"Thornbury","4/77 Pender St",2,"u",371000,"S","Brace",6.5,"3071",2,1,1,0,NA,1960,"Darebin"
"Doncaster","33 Somerville St",4,"h",1316000,"S","Jellis",13.9,"3108",4,2,2,716,155,1965,"Manningham"
"Pascoe Vale","9 Bendigo St",2,"h",920000,"S","Brad",9.9,"3044",2,1,2,650,NA,NA,"Moreland"
"St Kilda","9/12 Charnwood Rd",2,"u",560000,"S","Rodney",6.1,"3182",2,1,2,1676,NA,NA,"Port Phillip"
"Balwyn","17 Knutsford St",3,"h",3401000,"S","Jellis",9.7,"3103",3,2,1,706,166,1930,"Boroondara"
"Mont Albert","7/27 High St",3,"t",1310000,"S","Fletchers",11.8,"3127",3,2,2,330,148,2001,"Whitehorse"
"Yarraville","342 Francis St",3,"h",681000,"S","Sweeney",7,"3013",2,1,1,446,NA,NA,"Maribyrnong"
"Ivanhoe","2/29 St Elmo Rd",1,"u",385000,"SP","hockingstuart",7.9,"3079",1,1,1,0,NA,1970,"Banyule"
"Camberwell","26 Hunter Rd",3,"h",2105000,"S","Fletchers",7.8,"3124",3,1,2,692,164,1940,"Boroondara"
"Canterbury","4/31 Monomeath Av",3,"u",2130000,"S","Jellis",9,"3126",NA,NA,NA,NA,NA,NA,""
"Abbotsford","200 Nicholson St",2,"h",1012500,"S","Nelson",2.5,"3067",2,1,0,182,82,1900,"Yarra"
"Essendon","38 Vanberg Rd",3,"h",980000,"S","Nelson",8,"3040",3,1,1,464,NA,NA,"Moonee Valley"
"Hawthorn","8/36 Power St",2,"u",600000,"S","Nelson",4.6,"3122",2,1,1,0,NA,NA,"Boroondara"
"Williamstown","45 Albert St",2,"h",769000,"S","RT",8,"3016",2,1,1,265,NA,NA,"Hobsons Bay"
"Brunswick","141 Gold St",2,"h",845500,"S","Nelson",5.2,"3056",2,1,1,179,90,1890,"Moreland"
"Bulleen","37 Apex Cr",4,"h",1120000,"S","Barry",11.8,"3105",NA,NA,NA,NA,NA,NA,""
"Yallambie","5 Crew St",3,"h",710000,"S","Miles",15,"3085",3,1,1,616,115,1960,"Banyule"
"Doncaster","2/20 Wetherby Rd",2,"u",492500,"S","Barry",13.9,"3108",2,1,1,65,NA,1975,"Manningham"
"Yarraville","30 Simpson St",3,"h",1460000,"SP","Village",7,"3013",3,1,2,463,119,1900,"Maribyrnong"
"Surrey Hills","2/247 Elgar Rd",3,"u",930000,"S","Fletchers",11.2,"3127",3,2,2,252,NA,1992,"Whitehorse"
"Glenroy","64 Valley Cr",3,"h",570000,"PI","Barry",13,"3046",NA,NA,NA,NA,NA,NA,""
"Richmond","11 Barkly Av",4,"h",1540000,"S","Jellis",2.6,"3121",NA,NA,NA,NA,NA,NA,""
"Caulfield North","123 Normanby Rd",4,"h",2170000,"S","Gary",8.1,"3161",4,2,1,810,215,1915,"Glen Eira"
"Brighton","2/26 Pearson St",2,"u",536000,"SP","Hodges",11.2,"3186",2,1,2,0,70,1970,"Bayside"
"Ormond","13 Stewart St",2,"h",1360000,"PI","hockingstuart",11.8,"3204",3,1,1,690,NA,1930,"Glen Eira"
"Kingsville","85 Empress Av",4,"h",1210000,"SP","Greg",7.8,"3012",NA,NA,NA,NA,NA,NA,""
"Oakleigh","9/126 Atherton Rd",3,"u",665000,"S","O'Brien",14,"3166",3,1,1,112,NA,NA,"Monash"
"Williamstown","19 Perry St",3,"h",1575000,"S","Greg",8,"3016",3,2,3,430,215,1996,"Hobsons Bay"
"Brunswick","131 Tinning St",5,"h",1395000,"S","Nelson",5.2,"3056",4,2,2,391,NA,NA,"Moreland"
"Doncaster","33 Thiele St",4,"h",1396000,"S","Barry",13.9,"3108",4,1,2,658,138,1975,"Manningham"
"Brunswick","35 Percy St",2,"h",705000,"S","Chambers",5.2,"3056",2,1,1,161,68,1910,"Moreland"
"Doncaster","378 Manningham Rd",4,"h",1401000,"S","RW",13.9,"3108",4,3,2,650,261,1970,"Manningham"
"Yarraville","103/58 Ballarat St",1,"u",381000,"S","Sweeney",7,"3013",1,1,1,0,NA,NA,"Maribyrnong"
"Hampton","29 Thomas St",5,"h",3075000,"S","Marshall",13.7,"3188",3,2,2,830,204,1901,"Bayside"
"Murrumbeena","2/190 Murrumbeena Rd",1,"u",291000,"S","Woodards",12.1,"3163",1,1,1,0,44,NA,"Glen Eira"
"Airport West","81a Roberts Rd",3,"h",680000,"VB","Nelson",13.5,"3042",NA,NA,NA,NA,NA,NA,""
"Brighton East","609 Nepean Hwy",2,"h",805000,"PI","Hodges",10.7,"3187",2,1,2,347,NA,NA,"Bayside"
"Preston","3/27 Jessie St",2,"u",656000,"S","Barry",8.8,"3072",2,1,1,205,NA,1975,"Darebin"
"Fairfield","125 Grange Rd",3,"h",1700000,"PI","Jellis",5.8,"3078",3,2,1,743,NA,NA,"Darebin"
"Pascoe Vale","5/19 Raeburn St",2,"u",452000,"S","hockingstuart",9.9,"3044",2,1,1,159,87,1990,"Moreland"
"Northcote","1/221 Westgarth St",3,"t",865000,"S","Love",5.5,"3070",3,1,2,184,108,2006,"Darebin"
"Niddrie","7/93 Hoffmans Rd",2,"u",490000,"S","Brad",11.2,"3042",2,1,1,142,NA,NA,"Moonee Valley"
"Brunswick West","6/524 Moreland Rd",2,"u",400000,"SP","Nelson",5.9,"3055",2,1,1,73,64,1960,"Moreland"
"Brighton","4/23 South Rd",3,"u",1266000,"S","Hodges",11.2,"3186",3,1,2,277,116,1950,"Bayside"
"Reservoir","49 Yarra Av",3,"h",810000,"PI","hockingstuart",11.2,"3073",NA,NA,NA,NA,NA,NA,""
"Keilor East","9 West Gwy",3,"h",585000,"VB","Nelson",12.8,"3033",NA,NA,NA,NA,NA,NA,""
"Footscray","6 White St",2,"h",823000,"S","Jas",6.4,"3011",2,1,0,238,NA,NA,"Maribyrnong"
"Brunswick West","42 Hopetoun Av",4,"h",910000,"PI","Nelson",5.9,"3055",NA,NA,NA,NA,NA,NA,""
"Essendon","33 Bradshaw St",3,"h",980000,"VB","Barry",8,"3040",3,1,1,445,NA,NA,"Moonee Valley"
"Bentleigh East","16 Greenview Ct",3,"h",930000,"S","hockingstuart",13.9,"3165",3,1,2,580,NA,NA,"Glen Eira"
"Avondale Heights","31 Duke St",3,"h",750000,"S","Barry",10.5,"3034",3,1,1,529,NA,NA,"Moonee Valley"
"Sunshine North","23 Baynton Av",3,"h",700000,"PI","Sweeney",13.3,"3020",NA,NA,NA,NA,NA,NA,""
"Yarraville","3 Cuming St",2,"h",856000,"S","Greg",7,"3013",2,1,1,261,100,1880,"Maribyrnong"
"Bentleigh","17 Windsor Av",4,"h",2000000,"S","Buxton",13,"3204",NA,NA,NA,NA,NA,NA,""
"Brunswick","46 Cassels Rd",2,"h",860000,"S","Nelson",5.2,"3056",3,1,2,352,NA,1900,"Moreland"
"Altona","1/57 Blyth St",3,"u",730000,"SP","Barlow",13.8,"3018",3,2,1,70,NA,NA,"Hobsons Bay"
"Doncaster","1/4 Gregory Ct",4,"t",1231000,"SP","Jellis",13.9,"3108",NA,NA,NA,NA,NA,NA,""
"Balaclava","3/20 Orange Gr",2,"u",416000,"S","Chisholm",6.6,"3183",2,1,1,0,49,1960,"Port Phillip"
"Elsternwick","21 Liscard St",3,"h",1800000,"S","Biggin",8.5,"3185",3,2,2,492,181,1905,"Glen Eira"
"Brighton East","24 Moore St",3,"h",1405000,"S","Buxton",10.7,"3187",3,1,1,490,NA,NA,"Bayside"
"Altona North","1/95 Mills St",3,"h",588000,"S","Williams",11.1,"3025",3,1,1,328,118,1970,"Hobsons Bay"
"Camberwell","1/806 Burke Rd",2,"u",1017000,"S","Jellis",7.8,"3124",2,1,2,0,NA,1940,"Boroondara"
"Fawkner","2/79 Queens Pde",1,"u",288000,"S","Brad",12.4,"3060",1,1,1,69,NA,1960,"Moreland"
"Camberwell","4/1 Through Rd",3,"t",930000,"S","Ray",7.8,"3124",3,2,2,132,NA,1970,"Boroondara"
"Hawthorn","2/4 Grattan St",2,"u",752000,"S","Marshall",4.6,"3122",NA,NA,NA,NA,NA,NA,""
"Oak Park","1/13 Cartwright St",3,"h",590000,"VB","hockingstuart",11.5,"3046",NA,NA,NA,NA,NA,NA,""
"Sunshine","7 Alexandra Av",3,"h",750000,"S","Barry",12.6,"3020",NA,NA,NA,NA,NA,NA,""
"Braybrook","80 South Rd",4,"h",610000,"VB","Biggin",10.8,"3019",4,2,1,283,154,1990,"Maribyrnong"
"Hampton","64 Earlsfield Rd",4,"h",1460000,"S","Buxton",13.7,"3188",4,3,2,562,228,1950,"Bayside"
"Altona","12 Ransom Av",3,"h",685000,"S","Barlow",13.8,"3018",NA,NA,NA,NA,NA,NA,""
"St Kilda","6/4 Gurner St",2,"u",455000,"S","Domain",6.1,"3182",2,1,1,0,NA,NA,"Port Phillip"
"Bulleen","2/6 England St",3,"t",905000,"PI","Fletchers",11.8,"3105",NA,NA,NA,NA,NA,NA,""
"Brighton East","4 Bruce St",4,"h",1389000,"S","Buxton",10.7,"3187",4,1,2,656,150,1930,"Bayside"
"Hawthorn","11/26 Selbourne St",1,"u",420000,"S","LITTLE",4.6,"3122",NA,NA,NA,NA,NA,NA,""
"Preston","13 George St",2,"h",722000,"S","Nelson",8.8,"3072",2,1,1,400,88,1955,"Darebin"
"Port Melbourne","139 Cruikshank St",3,"t",1565000,"S","Cayzer",3.8,"3207",3,1,2,188,NA,NA,"Port Phillip"
"Pascoe Vale","2/58 Railway Pde",2,"t",480000,"PI","Nelson",9.9,"3044",2,1,1,113,94,1988,"Moreland"
"Balwyn","1/48 Talbot Av",3,"u",905000,"S","Jellis",9.7,"3103",NA,NA,NA,NA,NA,NA,""
"Thornbury","43 Ballantyne St",2,"h",925000,"S","Holland",6.5,"3071",2,1,1,258,157,NA,"Darebin"
"Bentleigh East","10 Boronia St",4,"h",1698888,"S","hockingstuart",13.9,"3165",4,2,2,598,337,2006,"Glen Eira"
"Chadstone","1/186 Power Av",2,"h",644000,"S","McGrath",13.6,"3148",NA,NA,NA,NA,NA,NA,""
"Melbourne","16/30 Queens Rd",1,"u",395000,"S","hockingstuart",2.8,"3000",NA,NA,NA,NA,NA,NA,""
"St Kilda","15 Dalgety La",2,"h",1300000,"S","Greg",6.1,"3182",NA,NA,NA,NA,NA,NA,""
"Sunshine","7 Donald St",3,"h",762500,"S","GL",12.6,"3020",3,1,1,510,NA,NA,"Brimbank"
"Heidelberg","4/81 Rosanna Rd",3,"u",620000,"S","Fletchers",10.6,"3084",3,1,1,215,NA,1985,"Banyule"
"Northcote","2/195 Clarke St",2,"u",692000,"S","Harcourts",5.5,"3070",2,1,1,0,NA,2012,"Darebin"
"Camberwell","6/11 Seymour Gr",2,"u",530000,"PI","Fletchers",7.8,"3124",2,1,1,0,NA,NA,"Boroondara"
"Brunswick","177 Barkly St",4,"h",1800000,"VB","Nelson",5.2,"3056",4,2,3,271,180,1900,"Moreland"
"Sunshine","74 Benjamin St",3,"h",794000,"S","GL",12.6,"3020",3,1,0,426,NA,NA,"Brimbank"
"Maidstone","19 Norfolk St",2,"h",711000,"S","Jas",9.2,"3012",2,1,0,163,69,1920,"Maribyrnong"
"Essendon","79 Lincoln Rd",4,"h",1726000,"S","Nelson",8,"3040",4,2,2,705,NA,NA,"Moonee Valley"
"Niddrie","1g Newman St",2,"t",610000,"SP","Barry",11.2,"3042",NA,NA,NA,NA,NA,NA,""
"Ormond","14/21 Lillimur Rd",2,"u",435000,"S","RT",11.8,"3204",1,1,1,0,NA,NA,"Glen Eira"
"Altona","3/26 Grieve Pde",2,"u",510000,"S","Village",13.8,"3018",2,1,1,127,76,1990,"Hobsons Bay"
"Preston","252 Raglan St",3,"h",1030000,"S","Love",8.8,"3072",3,2,3,427,NA,NA,"Darebin"
"Reservoir","40 Powell St",3,"h",832000,"S","Nelson",11.2,"3073",3,1,2,496,NA,NA,"Darebin"
"Abbotsford","25 Bloomburg St",2,"h",1035000,"S","Biggin",2.5,"3067",2,1,0,156,79,1900,"Yarra"
"North Melbourne","18 Melrose St",2,"h",1010000,"S","Jellis",2.3,"3051",2,2,0,109,100,1900,"Melbourne"
"Moonee Ponds","2 Addison St",3,"h",1370000,"S","Nelson",6.9,"3039",3,1,2,427,NA,NA,"Moonee Valley"
"Hawthorn","8B Myrtle St",2,"t",1055000,"S","Jellis",4.6,"3122",2,2,1,191,151,1975,"Boroondara"
"Murrumbeena","2/11 Howe St",2,"u",740000,"S","Buxton",12.1,"3163",2,1,1,161,89,1980,"Glen Eira"
"Balwyn North","45 Woodville St",4,"h",1712000,"S","Fletchers",9.2,"3104",3,2,2,639,NA,NA,"Boroondara"
"Doncaster","1 Graeme Cl",4,"h",2000000,"S","Barry",13.9,"3108",4,3,2,507,NA,NA,"Manningham"
"Sunshine West","30 Hall St",3,"h",620000,"S","Bells",13.5,"3020",3,1,4,699,125,1960,"Brimbank"
"Bentleigh East","20 Elizabeth St",3,"h",1185000,"S","hockingstuart",13.9,"3165",3,1,2,618,NA,NA,"Glen Eira"
"Camberwell","2a Thomas St",4,"h",1100000,"VB","HAR",7.8,"3124",NA,NA,NA,NA,NA,NA,""
"Reservoir","1/3 Boldrewood Pde",3,"h",500000,"PI","Love",11.2,"3073",3,1,1,320,NA,NA,"Darebin"
"Williamstown","43B Cole St",3,"h",1800000,"VB","Raine",8,"3016",3,2,2,332,252,2006,"Hobsons Bay"
"Burwood","8/33 McIntyre St",3,"u",746000,"S","Buxton",11.7,"3125",3,1,2,308,92,1995,"Whitehorse"
"Oakleigh South","16 Alleford St",3,"h",875000,"S","Buxton",14.7,"3167",3,2,1,258,105,1999,"Monash"
"Kew","2/37 Atkins St",2,"u",730000,"S","Marshall",5.6,"3101",2,1,1,NA,NA,NA,""
"South Yarra","12/2 Gordon Gr",2,"u",635000,"S","Beller",3.3,"3141",2,1,1,855,NA,NA,"Stonnington"
"Malvern East","9/240 Waverley Rd",2,"u",560000,"S","Marshall",11.2,"3145",NA,NA,NA,NA,NA,NA,""
"Windsor","344 High St",3,"h",2302000,"S","Marshall",5.1,"3181",3,1,4,440,144,1895,"Stonnington"
"Niddrie","20 Grandview Rd",4,"h",1245000,"PI","McDonald",11.2,"3042",4,3,3,0,225,1950,"Moonee Valley"
"Ashburton","45 Yuile St",3,"h",1655000,"S","Jellis",11,"3147",3,1,3,780,152,1940,"Boroondara"
"Newport","65 Alma Tce",2,"h",890000,"SP","Williams",8.4,"3015",2,1,0,168,90,1900,"Hobsons Bay"
"Oakleigh South","72A Axford Cr",2,"u",665000,"S","Buxton",14.7,"3167",NA,NA,NA,NA,NA,NA,""
"Ashwood","1/16 Raymond St",3,"t",900500,"S","Jellis",12.2,"3147",3,2,2,256,134,2012,"Monash"
"Oakleigh","13 Hilbert Ct",3,"h",1033000,"S","Buxton",14,"3166",3,1,2,548,115,1975,"Monash"
"Reservoir","2/170 Spring St",2,"t",541000,"SP","Ray",11.2,"3073",NA,NA,NA,NA,NA,NA,""
"Brighton East","5 Florence St",4,"h",1495000,"S","Nick",10.7,"3187",4,2,2,597,NA,NA,"Bayside"
"Bentleigh East","21 Wards Gr",4,"h",1206000,"S","Hodges",13.9,"3165",4,1,1,636,138,1940,"Glen Eira"
"Carnegie","4/299 Koornang Rd",2,"u",804000,"S","hockingstuart",11.4,"3163",2,2,1,0,86,1993,"Glen Eira"
"Chadstone","2/35 Binalong Av",3,"t",820000,"S","McGrath",13.6,"3148",NA,NA,NA,NA,NA,NA,""
"Rosanna","68 Finlayson St",3,"h",860000,"S","Miles",11.4,"3084",3,1,2,583,NA,NA,"Banyule"
"Balwyn North","141 Greythorn Rd",5,"h",1500000,"S","hockingstuart",9.2,"3104",3,1,1,800,NA,1950,"Boroondara"
"Oakleigh","36 Hatter St",3,"h",1225000,"S","Buxton",14,"3166",3,1,2,528,112,1930,"Monash"
"Parkville","12/238 The Avenue",3,"u",1360000,"S","Jellis",2.6,"3052",3,2,1,0,139,NA,"Melbourne"
"Heidelberg West","73 Pacific Dr",3,"h",560000,"SP","William",9.4,"3081",3,1,1,523,87,1960,"Banyule"
"Gowanbrae","24 Balerno Cir",3,"h",390000,"PI","Nelson",13.6,"3043",3,2,1,158,136,2005,"Moreland"
"Doncaster","3 Maralee Pl",3,"h",1850000,"S","Jellis",13.9,"3108",3,1,2,1073,143,1960,"Manningham"
"Essendon","26a Violet St",3,"u",891000,"S","Brad",8,"3040",3,2,1,0,NA,NA,"Moonee Valley"
"Footscray","1/15 Geelong Rd",4,"t",841000,"S","Jellis",6.4,"3011",4,2,2,250,160,2000,"Maribyrnong"
"Hawthorn East","2/2 Myrniong Gr",3,"h",1600000,"VB","Marshall",7.5,"3123",3,2,2,200,NA,NA,"Boroondara"
"Port Melbourne","213 Stokes St",3,"h",1380000,"S","Marshall",3.8,"3207",3,1,0,0,134,1890,"Port Phillip"
"South Yarra","19/110 Caroline St",2,"u",780000,"PI","Williams",3.3,"3141",2,1,1,0,75,1960,"Stonnington"
"Hampton East","9/12 Bartlett St",2,"u",400000,"S","Greg",14.5,"3188",2,1,1,0,75,1960,"Bayside"
"Elwood","4/41 Shelley St",2,"u",765000,"S","Marshall",7.7,"3184",2,1,0,0,88,1940,"Port Phillip"
"Fawkner","1/11 Brockley Rd",3,"h",400000,"S","Raine",12.4,"3060",3,1,1,285,NA,NA,"Moreland"
"Bentleigh","12 Werona St",3,"t",740000,"PI","Woodards",13,"3204",NA,NA,NA,NA,NA,NA,""
"Port Melbourne","98 Heath St",2,"h",1400000,"S","Marshall",3.8,"3207",2,1,1,168,102,1934,"Port Phillip"
"Preston","2/108 Murray Rd",3,"t",585000,"PI","Jellis",8.8,"3072",NA,NA,NA,NA,NA,NA,""
"Elwood","8/68 Goldsmith St",2,"u",630000,"PI","Hodges",7.7,"3184",2,1,1,0,70,1935,"Port Phillip"
"Essendon West","6 Sapphire St",7,"h",1300000,"PI","Nelson",9.8,"3040",5,2,2,614,316,1970,"Moonee Valley"
"Flemington","12 John St",2,"h",845000,"S","Nelson",4.4,"3031",2,1,1,0,NA,1910,"Moonee Valley"
"Burwood","55 Parer St",4,"t",900000,"VB","Noel",11.7,"3125",4,3,2,381,176,2013,"Whitehorse"
"Footscray","14 Latrobe St",3,"h",842500,"S","Village",6.4,"3011",NA,NA,NA,NA,NA,NA,""
"Mont Albert","17 Rowland St",4,"h",2850000,"S","Jellis",11.8,"3127",4,2,2,1388,NA,NA,"Whitehorse"
"Essendon","7 Hilda St",3,"h",1150000,"S","Paul",8,"3040",3,1,0,300,145,1900,"Moonee Valley"
"Sunshine North","2/4 Bradman St",3,"u",422000,"PI","Barry",13.3,"3020",NA,NA,NA,NA,NA,NA,""
"Brunswick","24 Amelia St",3,"t",795000,"S","RT",5.2,"3056",NA,NA,NA,NA,NA,NA,""
"Bulleen","31 Nirvana Cr",3,"h",975000,"PI","Barry",11.8,"3105",NA,NA,NA,NA,NA,NA,""
"Heidelberg Heights","14 Sackville St",3,"h",785000,"S","Barry",10.5,"3081",3,1,0,592,130,1950,"Banyule"
"Aberfeldie","40 Allan St",3,"h",1860000,"S","Rendina",9.1,"3040",3,2,2,311,NA,NA,"Moonee Valley"
"South Yarra","37 Grosvenor St",3,"h",1810000,"S","hockingstuart",3.3,"3141",3,1,1,211,18,1906,"Stonnington"
"Glenroy","7/89 Station Rd",2,"u",340000,"S","Nelson",13,"3046",2,1,1,0,74,1970,"Moreland"
"Reservoir","193 Edwardes St",3,"h",915000,"S","Ray",11.2,"3073",3,3,2,618,153,1960,"Darebin"
"Seaholme","13 Sussex St",5,"h",1415000,"S","Greg",12.7,"3018",5,3,6,705,313,2005,"Hobsons Bay"
"South Yarra","3/49 Osborne St",1,"u",330000,"VB","Jellis",3.3,"3141",1,1,1,0,47,1970,"Stonnington"
"Newport","60 Speight St",3,"h",891500,"SP","Sweeney",8.4,"3015",3,1,0,344,130,1920,"Hobsons Bay"
"Alphington","69 Lucerne Cr",3,"h",1480000,"S","Nelson",6.4,"3078",NA,NA,NA,NA,NA,NA,""
"Bentleigh","10 Osborne Av",5,"h",1960000,"S","Buxton",13,"3204",NA,NA,NA,NA,NA,NA,""
"Glen Iris","34 Yeovil Rd",4,"h",2850000,"S","Jellis",9.2,"3146",4,3,2,1184,305,1935,"Boroondara"
"Camberwell","3/220 Warrigal Rd",2,"u",435000,"SP","LITTLE",7.8,"3124",2,1,1,896,77,1960,"Boroondara"
"Moorabbin","5 Margaret St",3,"h",981000,"S","Buxton",14.6,"3189",2,1,2,601,NA,NA,"Kingston"
"Brunswick","5/185 Brunswick Rd",4,"t",860000,"PI","Nelson",5.2,"3056",4,2,1,95,97,NA,"Moreland"
"Brunswick","144A Glenlyon Rd",2,"h",840000,"S","Jellis",5.2,"3056",2,1,1,186,NA,NA,"Moreland"
"Carnegie","35 Hunter St",3,"h",1287000,"S","Ray",11.4,"3163",3,1,1,620,NA,NA,"Glen Eira"
"Sunshine West","3 Wendy Wy",4,"h",670000,"S","Bells",13.5,"3020",NA,NA,NA,NA,NA,NA,""
"Port Melbourne","27/39 Esplanade Pl",3,"u",1190000,"S","Wilson",3.8,"3207",NA,NA,NA,NA,NA,NA,""
"Balwyn North","32 Maylands Av",2,"h",1305000,"S","Fletchers",9.2,"3104",NA,NA,NA,NA,NA,NA,""
"Pascoe Vale","34 Essex St",3,"h",775000,"S","Brad",9.9,"3044",3,1,1,406,103,1960,"Moreland"
"Essendon","17 Cooper St",3,"h",1365000,"S","Nelson",8,"3040",3,1,1,754,NA,NA,"Moonee Valley"
"Aberfeldie","2 May St",4,"h",1200000,"VB","Nelson",9.1,"3040",4,2,2,578,35,2010,"Moonee Valley"
"St Kilda","6/22 Charnwood Cr",2,"u",610000,"VB","Hodges",6.1,"3182",NA,NA,NA,NA,NA,NA,""
"Brighton East","2/19 Hemming St",3,"u",880000,"S","Buxton",10.7,"3187",3,2,2,304,34,1990,"Bayside"
"Windsor","1/43 Williams Rd",2,"u",380000,"VB","hockingstuart",5.1,"3181",2,1,1,0,71,1970,"Port Phillip"
"Bellfield","40 Plunkett St",3,"h",885000,"S","Nelson",9.5,"3081",3,1,1,666,NA,NA,"Banyule"
"Rosanna","14 Invermay Gr",3,"h",945000,"S","Miles",11.4,"3084",3,1,1,625,135,1960,"Banyule"
